2020-12-07T22:29:10.808Z Server running on port 3003
2020-12-07T22:29:10.815Z HTTP POST http://localhost:3003/service
2020-12-07T22:29:10.829Z - POST RESPONSE - 200
2020-12-07T22:29:24.524Z /time - GET RESPONSE - 200
2020-12-07T22:29:24.526Z /users - GET RESPONSE - 200
2020-12-07T22:29:25.818Z HTTP POST http://localhost:3003/service
2020-12-07T22:29:25.820Z - POST RESPONSE - 200
2020-12-07T22:29:26.341Z /time - GET RESPONSE - 200
2020-12-07T22:29:26.348Z /users - GET RESPONSE - 200
2020-12-07T22:29:27.339Z /time - GET RESPONSE - 200
2020-12-07T22:29:27.341Z /users - GET RESPONSE - 200
2020-12-07T22:29:27.872Z /time - GET RESPONSE - 200
2020-12-07T22:29:27.878Z /users - GET RESPONSE - 200
2020-12-07T22:29:27.889Z /users - GET RESPONSE - 200
2020-12-07T22:29:28.336Z /time - GET RESPONSE - 200
2020-12-07T22:29:28.338Z /users - GET RESPONSE - 200
2020-12-07T22:29:28.874Z /time - GET RESPONSE - 200
2020-12-07T22:29:28.881Z /users - GET RESPONSE - 200
2020-12-07T22:29:29.339Z /time - GET RESPONSE - 200
2020-12-07T22:29:29.341Z /users - GET RESPONSE - 200
2020-12-07T22:29:29.874Z /time - GET RESPONSE - 200
2020-12-07T22:29:29.879Z /users - GET RESPONSE - 200
2020-12-07T22:29:30.334Z /time - GET RESPONSE - 200
2020-12-07T22:29:30.339Z /users - GET RESPONSE - 200
2020-12-07T22:29:30.876Z /time - GET RESPONSE - 200
2020-12-07T22:29:30.882Z /users - GET RESPONSE - 200
2020-12-07T22:29:31.338Z /time - GET RESPONSE - 200
2020-12-07T22:29:31.346Z /users - GET RESPONSE - 200
2020-12-07T22:29:31.870Z /time - GET RESPONSE - 200
2020-12-07T22:29:31.874Z /users - GET RESPONSE - 200
2020-12-07T22:29:32.338Z /time - GET RESPONSE - 200
2020-12-07T22:29:32.339Z /users - GET RESPONSE - 200
2020-12-07T22:29:32.871Z /time - GET RESPONSE - 200
2020-12-07T22:29:32.872Z /users - GET RESPONSE - 200
2020-12-07T22:29:33.333Z /time - GET RESPONSE - 200
2020-12-07T22:29:33.333Z /users - GET RESPONSE - 200
2020-12-07T22:29:33.874Z /time - GET RESPONSE - 200
2020-12-07T22:29:33.875Z /users - GET RESPONSE - 200
2020-12-07T22:29:34.336Z /time - GET RESPONSE - 200
2020-12-07T22:29:34.337Z /users - GET RESPONSE - 200
2020-12-07T22:29:34.869Z /time - GET RESPONSE - 200
2020-12-07T22:29:34.872Z /users - GET RESPONSE - 200
2020-12-07T22:29:35.333Z /time - GET RESPONSE - 200
2020-12-07T22:29:35.333Z /users - GET RESPONSE - 200
2020-12-07T22:29:35.890Z /time - GET RESPONSE - 200
2020-12-07T22:29:35.897Z /users - GET RESPONSE - 200
2020-12-07T22:29:36.333Z /time - GET RESPONSE - 200
2020-12-07T22:29:36.334Z /users - GET RESPONSE - 200
2020-12-07T22:29:37.189Z /time - GET RESPONSE - 200
2020-12-07T22:29:37.199Z - POST RESPONSE - 200
2020-12-07T22:29:37.875Z /time - GET RESPONSE - 200
2020-12-07T22:29:37.886Z /users - GET RESPONSE - 200
2020-12-07T22:29:38.348Z /time - GET RESPONSE - 200
2020-12-07T22:29:38.349Z /users - GET RESPONSE - 200
2020-12-07T22:29:38.360Z /users - GET RESPONSE - 200
2020-12-07T22:29:38.870Z /time - GET RESPONSE - 200
2020-12-07T22:29:38.876Z /users - GET RESPONSE - 200
2020-12-07T22:29:38.887Z /users - GET RESPONSE - 200
2020-12-07T22:29:39.350Z /time - GET RESPONSE - 200
2020-12-07T22:29:39.358Z /users - GET RESPONSE - 200
2020-12-07T22:29:39.878Z /time - GET RESPONSE - 200
2020-12-07T22:29:39.879Z /users - GET RESPONSE - 200
2020-12-07T22:29:40.351Z /time - GET RESPONSE - 200
2020-12-07T22:29:40.353Z /users - GET RESPONSE - 200
2020-12-07T22:29:40.818Z HTTP POST http://localhost:3003/service
2020-12-07T22:29:40.819Z - POST RESPONSE - 200
2020-12-07T22:29:40.877Z /time - GET RESPONSE - 200
2020-12-07T22:29:40.888Z /users - GET RESPONSE - 200
2020-12-07T22:29:41.348Z /time - GET RESPONSE - 200
2020-12-07T22:29:41.348Z /users - GET RESPONSE - 200
2020-12-07T22:29:41.872Z /time - GET RESPONSE - 200
2020-12-07T22:29:41.876Z /users - GET RESPONSE - 200
2020-12-07T22:29:42.346Z /time - GET RESPONSE - 200
2020-12-07T22:29:42.346Z /users - GET RESPONSE - 200
2020-12-07T22:29:42.873Z /time - GET RESPONSE - 200
2020-12-07T22:29:42.878Z /users - GET RESPONSE - 200
2020-12-07T22:29:43.353Z /time - GET RESPONSE - 200
2020-12-07T22:29:43.359Z /users - GET RESPONSE - 200
2020-12-07T22:29:43.882Z /time - GET RESPONSE - 200
2020-12-07T22:29:43.883Z /users - GET RESPONSE - 200
2020-12-07T22:29:44.347Z /time - GET RESPONSE - 200
2020-12-07T22:29:44.348Z /users - GET RESPONSE - 200
2020-12-07T22:29:44.877Z /time - GET RESPONSE - 200
2020-12-07T22:29:44.878Z /users - GET RESPONSE - 200
2020-12-07T22:29:45.346Z /time - GET RESPONSE - 200
2020-12-07T22:29:45.347Z /users - GET RESPONSE - 200
2020-12-07T22:29:45.880Z /time - GET RESPONSE - 200
2020-12-07T22:29:45.881Z /users - GET RESPONSE - 200
2020-12-07T22:29:46.345Z /time - GET RESPONSE - 200
2020-12-07T22:29:46.346Z /users - GET RESPONSE - 200
2020-12-07T22:29:46.871Z /time - GET RESPONSE - 200
2020-12-07T22:29:46.876Z /users - GET RESPONSE - 200
2020-12-07T22:29:47.348Z /time - GET RESPONSE - 200
2020-12-07T22:29:47.349Z /users - GET RESPONSE - 200
2020-12-07T22:29:47.878Z /time - GET RESPONSE - 200
2020-12-07T22:29:47.882Z /users - GET RESPONSE - 200
2020-12-07T22:29:48.347Z /time - GET RESPONSE - 200
2020-12-07T22:29:48.348Z /users - GET RESPONSE - 200
2020-12-07T22:29:55.824Z HTTP POST http://localhost:3003/service
2020-12-07T22:29:55.828Z - POST RESPONSE - 200
2020-12-07T22:29:55.829Z /status - GET RESPONSE - 200
2020-12-07T22:30:10.839Z HTTP POST http://localhost:3003/service
2020-12-07T22:30:10.844Z - POST RESPONSE - 200
2020-12-07T22:30:10.845Z /status - GET RESPONSE - 200
2020-12-07T22:30:25.843Z HTTP POST http://localhost:3003/service
2020-12-07T22:30:25.844Z - POST RESPONSE - 200
2020-12-07T22:30:26.382Z /time - GET RESPONSE - 200
2020-12-07T22:30:26.383Z /users - GET RESPONSE - 200
2020-12-07T22:30:27.762Z /time - GET RESPONSE - 200
2020-12-07T22:30:27.768Z /users - GET RESPONSE - 200
2020-12-07T22:30:27.782Z /users - GET RESPONSE - 200
2020-12-07T22:30:28.763Z /time - GET RESPONSE - 200
2020-12-07T22:30:28.764Z /users - GET RESPONSE - 200
2020-12-07T22:30:29.764Z /time - GET RESPONSE - 200
2020-12-07T22:30:29.769Z /users - GET RESPONSE - 200
2020-12-07T22:30:29.879Z /time - GET RESPONSE - 200
2020-12-07T22:30:29.884Z /users - GET RESPONSE - 200
2020-12-07T22:30:30.882Z /time - GET RESPONSE - 200
2020-12-07T22:30:30.892Z /users - GET RESPONSE - 200
2020-12-07T22:30:31.728Z /time - GET RESPONSE - 200
2020-12-07T22:30:31.729Z /users - GET RESPONSE - 200
2020-12-07T22:30:31.742Z /users - GET RESPONSE - 200
2020-12-07T22:30:31.870Z /time - GET RESPONSE - 200
2020-12-07T22:30:31.877Z /users - GET RESPONSE - 200
2020-12-07T22:30:32.727Z /time - GET RESPONSE - 200
2020-12-07T22:30:32.728Z /users - GET RESPONSE - 200
2020-12-07T22:30:32.873Z /time - GET RESPONSE - 200
2020-12-07T22:30:32.874Z /users - GET RESPONSE - 200
2020-12-07T22:30:33.732Z /time - GET RESPONSE - 200
2020-12-07T22:30:33.745Z /users - GET RESPONSE - 200
2020-12-07T22:30:33.882Z /time - GET RESPONSE - 200
2020-12-07T22:30:33.889Z /users - GET RESPONSE - 200
2020-12-07T22:30:34.729Z /time - GET RESPONSE - 200
2020-12-07T22:30:34.730Z /users - GET RESPONSE - 200
2020-12-07T22:30:34.879Z /time - GET RESPONSE - 200
2020-12-07T22:30:34.880Z /users - GET RESPONSE - 200
2020-12-07T22:30:35.730Z /time - GET RESPONSE - 200
2020-12-07T22:30:35.731Z /users - GET RESPONSE - 200
2020-12-07T22:30:35.871Z /time - GET RESPONSE - 200
2020-12-07T22:30:35.875Z /users - GET RESPONSE - 200
2020-12-07T22:30:36.729Z /time - GET RESPONSE - 200
2020-12-07T22:30:36.734Z /users - GET RESPONSE - 200
2020-12-07T22:30:36.872Z /time - GET RESPONSE - 200
